state,variant,path,formula,atom_count,selected_sites,added_o_count,added_h_count,removed_slab_h_indices
S000,variant_01,generated_state_inputs/S000/variant_01,H2Mn12O17,31,,0,0,
S000,variant_02,generated_state_inputs/S000/variant_02,H2Mn12O17,31,,0,0,
S000,variant_03,generated_state_inputs/S000/variant_03,H2Mn12O17,31,,0,0,
S001,variant_01,generated_state_inputs/S001/variant_01,HMn12O17,30,,0,0,30
S001,variant_02,generated_state_inputs/S001/variant_02,HMn12O17,30,,0,0,29
S001,variant_03,generated_state_inputs/S001/variant_03,HMn12O17,30,,0,0,30
S002,variant_01,generated_state_inputs/S002/variant_01,Mn12O17,29,,0,0,29 30
S002,variant_02,generated_state_inputs/S002/variant_02,Mn12O17,29,,0,0,29 30
S002,variant_03,generated_state_inputs/S002/variant_03,Mn12O17,29,,0,0,29 30
S100,variant_01,generated_state_inputs/S100/variant_01,H4Mn13O19,36,1,2,2,
S100,variant_02,generated_state_inputs/S100/variant_02,H4Mn13O19,36,2,2,2,
S100,variant_03,generated_state_inputs/S100/variant_03,H4Mn13O19,36,3,2,2,
S101,variant_01,generated_state_inputs/S101/variant_01,H3Mn13O19,35,1,2,1,
S101,variant_02,generated_state_inputs/S101/variant_02,H3Mn13O19,35,2,2,1,
S101,variant_03,generated_state_inputs/S101/variant_03,H3Mn13O19,35,3,2,1,
S102,variant_01,generated_state_inputs/S102/variant_01,H2Mn13O19,34,1,2,0,
S102,variant_02,generated_state_inputs/S102/variant_02,H2Mn13O19,34,2,2,0,
S102,variant_03,generated_state_inputs/S102/variant_03,H2Mn13O19,34,3,2,0,
S110,variant_01,generated_state_inputs/S110/variant_01,H2Mn13O18,33,1,1,0,
S110,variant_02,generated_state_inputs/S110/variant_02,H2Mn13O18,33,2,1,0,
S110,variant_03,generated_state_inputs/S110/variant_03,H2Mn13O18,33,3,1,0,
S111,variant_01,generated_state_inputs/S111/variant_01,HMn13O18,32,1,1,0,30
S111,variant_02,generated_state_inputs/S111/variant_02,HMn13O18,32,2,1,0,29
S111,variant_03,generated_state_inputs/S111/variant_03,HMn13O18,32,3,1,0,30
S112,variant_01,generated_state_inputs/S112/variant_01,Mn13O18,31,1,1,0,29 30
S112,variant_02,generated_state_inputs/S112/variant_02,Mn13O18,31,2,1,0,29 30
S112,variant_03,generated_state_inputs/S112/variant_03,Mn13O18,31,3,1,0,29 30
S200,variant_01,generated_state_inputs/S200/variant_01,H6Mn14O21,41,1 2,4,4,
S200,variant_02,generated_state_inputs/S200/variant_02,H6Mn14O21,41,2 3,4,4,
S200,variant_03,generated_state_inputs/S200/variant_03,H6Mn14O21,41,3 1,4,4,
S201,variant_01,generated_state_inputs/S201/variant_01,H5Mn14O21,40,1 2,4,3,
S201,variant_02,generated_state_inputs/S201/variant_02,H5Mn14O21,40,2 3,4,3,
S201,variant_03,generated_state_inputs/S201/variant_03,H5Mn14O21,40,3 1,4,3,
S202,variant_01,generated_state_inputs/S202/variant_01,H4Mn14O21,39,1 2,4,2,
S202,variant_02,generated_state_inputs/S202/variant_02,H4Mn14O21,39,2 3,4,2,
S202,variant_03,generated_state_inputs/S202/variant_03,H4Mn14O21,39,3 1,4,2,
S210,variant_01,generated_state_inputs/S210/variant_01,H4Mn14O20,38,1 2,3,2,
S210,variant_02,generated_state_inputs/S210/variant_02,H4Mn14O20,38,2 3,3,2,
S210,variant_03,generated_state_inputs/S210/variant_03,H4Mn14O20,38,3 1,3,2,
S211,variant_01,generated_state_inputs/S211/variant_01,H3Mn14O20,37,1 2,3,1,
S211,variant_02,generated_state_inputs/S211/variant_02,H3Mn14O20,37,2 3,3,1,
S211,variant_03,generated_state_inputs/S211/variant_03,H3Mn14O20,37,3 1,3,1,
S212,variant_01,generated_state_inputs/S212/variant_01,H2Mn14O20,36,1 2,3,0,
S212,variant_02,generated_state_inputs/S212/variant_02,H2Mn14O20,36,2 3,3,0,
S212,variant_03,generated_state_inputs/S212/variant_03,H2Mn14O20,36,3 1,3,0,
S220,variant_01,generated_state_inputs/S220/variant_01,H2Mn14O19,35,1 2,2,0,
S220,variant_02,generated_state_inputs/S220/variant_02,H2Mn14O19,35,2 3,2,0,
S220,variant_03,generated_state_inputs/S220/variant_03,H2Mn14O19,35,3 1,2,0,
S221,variant_01,generated_state_inputs/S221/variant_01,HMn14O19,34,1 2,2,0,30
S221,variant_02,generated_state_inputs/S221/variant_02,HMn14O19,34,2 3,2,0,29
S221,variant_03,generated_state_inputs/S221/variant_03,HMn14O19,34,3 1,2,0,30
S222,variant_01,generated_state_inputs/S222/variant_01,Mn14O19,33,1 2,2,0,29 30
S222,variant_02,generated_state_inputs/S222/variant_02,Mn14O19,33,2 3,2,0,29 30
S222,variant_03,generated_state_inputs/S222/variant_03,Mn14O19,33,3 1,2,0,29 30
S300,variant_01,generated_state_inputs/S300/variant_01,H8Mn15O23,46,1 2 3,6,6,
S300,variant_02,generated_state_inputs/S300/variant_02,H8Mn15O23,46,2 3 1,6,6,
S300,variant_03,generated_state_inputs/S300/variant_03,H8Mn15O23,46,3 1 2,6,6,
S301,variant_01,generated_state_inputs/S301/variant_01,H7Mn15O23,45,1 2 3,6,5,
S301,variant_02,generated_state_inputs/S301/variant_02,H7Mn15O23,45,2 3 1,6,5,
S301,variant_03,generated_state_inputs/S301/variant_03,H7Mn15O23,45,3 1 2,6,5,
S302,variant_01,generated_state_inputs/S302/variant_01,H6Mn15O23,44,1 2 3,6,4,
S302,variant_02,generated_state_inputs/S302/variant_02,H6Mn15O23,44,2 3 1,6,4,
