state,variant,path,formula,atom_count,selected_sites,added_o_count,added_h_count,removed_slab_h_indices
S000,variant_01,generated_state_inputs/S000/variant_01,H8Mn15O24,47,,0,0,
S000,variant_02,generated_state_inputs/S000/variant_02,H8Mn15O24,47,,0,0,
S000,variant_03,generated_state_inputs/S000/variant_03,H8Mn15O24,47,,0,0,
S001,variant_01,generated_state_inputs/S001/variant_01,H7Mn15O24,46,,0,0,43
S001,variant_02,generated_state_inputs/S001/variant_02,H7Mn15O24,46,,0,0,46
S001,variant_03,generated_state_inputs/S001/variant_03,H7Mn15O24,46,,0,0,45
S002,variant_01,generated_state_inputs/S002/variant_01,H6Mn15O24,45,,0,0,43 46
S002,variant_02,generated_state_inputs/S002/variant_02,H6Mn15O24,45,,0,0,45 46
S002,variant_03,generated_state_inputs/S002/variant_03,H6Mn15O24,45,,0,0,44 45
S100,variant_01,generated_state_inputs/S100/variant_01,H10Mn16O26,52,1,2,2,
S100,variant_02,generated_state_inputs/S100/variant_02,H10Mn16O26,52,2,2,2,
S100,variant_03,generated_state_inputs/S100/variant_03,H10Mn16O26,52,3,2,2,
S101,variant_01,generated_state_inputs/S101/variant_01,H9Mn16O26,51,1,2,2,43
S101,variant_02,generated_state_inputs/S101/variant_02,H9Mn16O26,51,2,2,2,46
S101,variant_03,generated_state_inputs/S101/variant_03,H9Mn16O26,51,3,2,2,45
S102,variant_01,generated_state_inputs/S102/variant_01,H8Mn16O26,50,1,2,2,43 46
S102,variant_02,generated_state_inputs/S102/variant_02,H8Mn16O26,50,2,2,2,45 46
S102,variant_03,generated_state_inputs/S102/variant_03,H8Mn16O26,50,3,2,2,44 45
S110,variant_01,generated_state_inputs/S110/variant_01,H8Mn16O25,49,1,1,1,43
S110,variant_02,generated_state_inputs/S110/variant_02,H8Mn16O25,49,2,1,1,46
S110,variant_03,generated_state_inputs/S110/variant_03,H8Mn16O25,49,3,1,1,45
S111,variant_01,generated_state_inputs/S111/variant_01,H7Mn16O25,48,1,1,1,43 46
S111,variant_02,generated_state_inputs/S111/variant_02,H7Mn16O25,48,2,1,1,45 46
S111,variant_03,generated_state_inputs/S111/variant_03,H7Mn16O25,48,3,1,1,44 45
S112,variant_01,generated_state_inputs/S112/variant_01,H6Mn16O25,47,1,1,1,43 45 46
S112,variant_02,generated_state_inputs/S112/variant_02,H6Mn16O25,47,2,1,1,44 45 46
S112,variant_03,generated_state_inputs/S112/variant_03,H6Mn16O25,47,3,1,1,43 44 45
S200,variant_01,generated_state_inputs/S200/variant_01,H12Mn17O28,57,1 2,4,4,
S200,variant_02,generated_state_inputs/S200/variant_02,H12Mn17O28,57,2 3,4,4,
S200,variant_03,generated_state_inputs/S200/variant_03,H12Mn17O28,57,3 1,4,4,
S201,variant_01,generated_state_inputs/S201/variant_01,H11Mn17O28,56,1 2,4,4,43
S201,variant_02,generated_state_inputs/S201/variant_02,H11Mn17O28,56,2 3,4,4,46
S201,variant_03,generated_state_inputs/S201/variant_03,H11Mn17O28,56,3 1,4,4,45
S202,variant_01,generated_state_inputs/S202/variant_01,H10Mn17O28,55,1 2,4,4,43 46
