sequence_id,sequence,state_path
1,OCOCOXX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 2, 0) -> S(3, 2, 0) -> S(3, 2, 1) -> S(3, 2, 2)
2,OCOCXOX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 2, 0) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
3,OCOCXXO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 2, 0) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
4,OCOOCXX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(3, 1, 0) -> S(3, 2, 0) -> S(3, 2, 1) -> S(3, 2, 2)
5,OCOOXCX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(3, 1, 0) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
6,OCOOXXC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(3, 1, 0) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
7,OCOXCOX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
8,OCOXCXO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
9,OCOXOCX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
10,OCOXOXC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
11,OCOXXCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
12,OCOXXOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
13,OCXOCOX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
14,OCXOCXO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
15,OCXOOCX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
16,OCXOOXC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
17,OCXOXCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
18,OCXOXOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
19,OCXXOCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(1, 1, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
20,OCXXOOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 1, 0) -> S(1, 1, 1) -> S(1, 1, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
