path,state,coordinate,relative_E
./S000/variant_01,S000,0,0.000000000
./S100/variant_01,S100,1,0.226790000
./S001/variant_02,S001,1,0.217230000
./S101/variant_03,S101,2,-0.154390281
./S110/variant_02,S110,2,0.591245250
./S200/variant_01,S200,2,-0.230750000
./S102/variant_02,S102,3,-0.024042063
./S111/variant_03,S111,3,0.552423469
./S201/variant_03,S201,3,-0.887468781
./S210/variant_02,S210,3,0.320836750
./S300/variant_03,S300,3,0.304494500
./S112/variant_02,S112,4,0.796501687
./S202/variant_02,S202,4,-1.656330562
./S211/variant_03,S211,4,-0.378695031
./S220/variant_01,S220,4,0.916320500
./S301/variant_01,S301,4,0.264722719
./S310/variant_03,S310,4,0.652378250
./S212/variant_03,S212,5,0.328223188
./S221/variant_02,S221,5,0.581468719
./S302/variant_03,S302,5,0.895670938
./S311/variant_03,S311,5,-0.955193531
./S320/variant_01,S320,5,0.579842000
./S222/variant_03,S222,6,2.029196938
./S312/variant_03,S312,6,-1.581125312
./S321/variant_01,S321,6,-0.643839781
./S322/variant_02,S322,7,-1.899271563
