scan_axis,fixed_chemical_potential_eV,equal_growth_crossing_eV
mu_H2O_at_fixed_mu_MnOH2,-2.65,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.65,-2.36527015
mu_H2O_at_fixed_mu_MnOH2,-2.6,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.6,-2.31527015
mu_H2O_at_fixed_mu_MnOH2,-2.55,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.55,-2.26527015
mu_H2O_at_fixed_mu_MnOH2,-2.5,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.5,-2.21527015
mu_H2O_at_fixed_mu_MnOH2,-2.45,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.45,-2.16527015
mu_H2O_at_fixed_mu_MnOH2,-2.4,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.4,-2.11527015
mu_H2O_at_fixed_mu_MnOH2,-2.35,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.35,-2.06527015
mu_H2O_at_fixed_mu_MnOH2,-2.3,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.3,-2.01527015
mu_H2O_at_fixed_mu_MnOH2,-2.25,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.25,-1.96527015
mu_H2O_at_fixed_mu_MnOH2,-2.2,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.2,-1.92444775
mu_H2O_at_fixed_mu_MnOH2,-2.15,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.15,-1.88739491
mu_H2O_at_fixed_mu_MnOH2,-2.1,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.1,-1.87444775
mu_H2O_at_fixed_mu_MnOH2,-2.05,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2.05,-1.83870648
mu_H2O_at_fixed_mu_MnOH2,-2,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-2,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.95,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.95,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.9,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.9,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.85,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.85,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.8,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.8,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.75,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.75,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.7,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.7,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.65,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.65,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.6,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.6,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.55,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.55,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.5,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.5,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.45,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.45,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.4,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.4,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.35,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.35,-1.82846659
mu_H2O_at_fixed_mu_MnOH2,-1.3,-2.44312027
mu_H2O_at_fixed_mu_MnOH2,-1.3,-1.82846659
