path,state,coordinate,relative_E
./S000/variant_01,S000,0,0
./S001/variant_01,S001,1,-0.717431781
./S002/variant_01,S002,2,-0.673013563
./S100/variant_02,S100,1,0.1403215
./S101/variant_02,S101,2,0.045049719
./S102/variant_02,S102,3,-0.571462062
./S110/variant_03,S110,2,0.76938525
./S111/variant_02,S111,3,0.321683469
./S112/variant_03,S112,4,-0.785008313
./S200/variant_01,S200,2,0.741473
./S201/variant_03,S201,3,0.624151219
./S202/variant_02,S202,4,-1.352820562
./S210/variant_01,S210,3,4.59486675
./S211/variant_01,S211,4,-0.712705031
./S212/variant_01,S212,5,-1.441116812
./S220/variant_03,S220,4,0.7537705
./S221/variant_02,S221,5,-0.800531281
./S222/variant_02,S222,6,-1.322983063
./S300/variant_01,S300,3,5.2121445
./S301/variant_01,S301,4,0.886432719
./S302/variant_02,S302,5,3.903040937
./S310/variant_02,S310,4,1.46947825
./S311/variant_02,S311,5,1.408106469
./S312/variant_03,S312,6,-0.681915312
./S320/variant_03,S320,5,0.852552
./S321/variant_01,S321,6,-0.487719781
./S322/(34layer),S322,7,-1.645781562
