mu_MnOH2_eV,mu_H2O_eV,span_001_eV,span_011_eV,delta_span_011_minus_001_eV,log10_TOF_001_s-1,log10_TOF_011_s-1,log10_velocity_001_A_s-1,log10_velocity_011_A_s-1,log10_velocity_ratio_001_over_011,path_region_001,path_id_001,TDI_001,TDTS_001,cooptimal_paths_001,path_region_011,path_id_011,TDI_011,TDTS_011,cooptimal_paths_011
-4,-4,0.935398219,3.0360715,2.10067328,-3.01824066,-38.5269691,-2.6464342,-37.8362415,35.1898073,R017,P00065,S221,S222,2,R061,P68636,S433,S533,1
-3.95,-4,0.935398219,2.9860715,2.05067328,-3.01824066,-37.6817941,-2.6464342,-36.9910666,34.3446324,R017,P00065,S221,S222,2,R061,P68636,S433,S533,1
-3.9,-4,0.935398219,2.91933647,1.98393825,-3.01824066,-36.5537386,-2.6464342,-35.8630111,33.2165769,R017,P00065,S221,S222,3,R056,P68478,S544,S211,5
-3.85,-4,0.935398219,2.8156115,1.88021328,-3.01824066,-34.8004237,-2.6464342,-34.1096962,31.463262,R017,P00065,S221,S222,3,R056,P68478,S111,S211,5
-3.8,-4,0.935398219,2.7656115,1.83021328,-3.01824066,-33.9552488,-2.6464342,-33.2645212,30.618087,R017,P00065,S221,S222,3,R056,P68478,S111,S211,5
-3.75,-4,0.935398219,2.7156115,1.78021328,-3.01824066,-33.1100738,-2.6464342,-32.4193463,29.7729121,R017,P00065,S221,S222,3,R056,P68478,S111,S211,10
-3.7,-4,0.935398219,2.6656115,1.73021328,-3.01824066,-32.2648989,-2.6464342,-31.5741713,28.9277371,R017,P00065,S221,S222,3,R054,P68422,S111,S211,12
-3.65,-4,0.935398219,2.6156115,1.68021328,-3.01824066,-31.4197239,-2.6464342,-30.7289964,28.0825622,R017,P00065,S221,S222,3,R054,P68422,S111,S211,12
-3.6,-4,0.935398219,2.5656115,1.63021328,-3.01824066,-30.574549,-2.6464342,-29.8838215,27.2373873,R017,P00065,S221,S222,3,R054,P68422,S111,S211,12
-3.55,-4,0.935398219,2.5156115,1.58021328,-3.01824066,-29.7293741,-2.6464342,-29.0386465,26.3922123,R017,P00065,S221,S222,3,R054,P68422,S111,S211,12
-3.5,-4,0.89277525,2.4656115,1.57283625,-2.29776335,-28.8841991,-1.9259569,-28.1934716,26.2675147,R013,P00056,S112,S222,2,R054,P68422,S111,S211,12
-3.45,-4,0.84277525,2.4156115,1.57283625,-1.45258841,-28.0390242,-1.08078195,-27.3482966,26.2675147,R013,P00056,S112,S222,2,R054,P68422,S111,S211,12
-3.4,-4,0.79277525,2.3656115,1.57283625,-0.607413468,-27.1938492,-0.23560701,-26.5031217,26.2675147,R013,P00056,S112,S222,2,R054,P68422,S111,S211,12
