surface,x1_mu_MnOH2_eV,y1_mu_H2O_eV,x2_mu_MnOH2_eV,y2_mu_H2O_eV,region_a,region_b
001,-3.525,-4.025,-3.525,-3.975,R017,R013
001,-1.025,-4.025,-1.025,-3.975,R013,R010
001,-0.975,-4.025,-0.975,-3.975,R010,R001
001,-3.525,-3.975,-3.525,-3.925,R017,R013
001,-1.025,-3.975,-1.025,-3.925,R013,R010
001,-0.975,-3.975,-0.975,-3.925,R010,R001
001,-3.475,-3.925,-3.475,-3.875,R017,R013
001,-1.025,-3.925,-1.025,-3.875,R013,R010
001,-0.975,-3.925,-0.975,-3.875,R010,R001
001,-3.475,-3.875,-3.475,-3.825,R017,R013
001,-1.025,-3.875,-1.025,-3.825,R013,R010
001,-0.975,-3.875,-0.975,-3.825,R010,R001
001,-3.425,-3.825,-3.425,-3.775,R017,R013
001,-1.025,-3.825,-1.025,-3.775,R013,R010
001,-0.975,-3.825,-0.975,-3.775,R010,R001
001,-3.425,-3.775,-3.425,-3.725,R017,R013
001,-1.025,-3.775,-1.025,-3.725,R013,R010
001,-0.975,-3.775,-0.975,-3.725,R010,R001
001,-3.375,-3.725,-3.375,-3.675,R017,R013
001,-1.025,-3.725,-1.025,-3.675,R013,R010
001,-0.975,-3.725,-0.975,-3.675,R010,R001
001,-3.375,-3.675,-3.375,-3.625,R017,R013
001,-1.025,-3.675,-1.025,-3.625,R013,R010
001,-0.975,-3.675,-0.975,-3.625,R010,R001
001,-3.325,-3.625,-3.325,-3.575,R017,R013
001,-1.025,-3.625,-1.025,-3.575,R013,R010
001,-0.975,-3.625,-0.975,-3.575,R010,R001
001,-3.325,-3.575,-3.325,-3.525,R017,R013
001,-1.025,-3.575,-1.025,-3.525,R013,R010
001,-0.975,-3.575,-0.975,-3.525,R010,R001
001,-3.275,-3.525,-3.275,-3.475,R017,R013
001,-1.025,-3.525,-1.025,-3.475,R013,R010
001,-0.975,-3.525,-0.975,-3.475,R010,R001
001,-3.275,-3.475,-3.275,-3.425,R017,R013
001,-1.025,-3.475,-1.025,-3.425,R013,R010
001,-0.975,-3.475,-0.975,-3.425,R010,R001
001,-3.225,-3.425,-3.225,-3.375,R017,R013
001,-1.025,-3.425,-1.025,-3.375,R013,R010
001,-0.975,-3.425,-0.975,-3.375,R010,R001
001,-3.225,-3.375,-3.225,-3.325,R017,R013
001,-1.025,-3.375,-1.025,-3.325,R013,R010
001,-0.975,-3.375,-0.975,-3.325,R010,R001
001,-3.175,-3.325,-3.175,-3.275,R017,R013
001,-1.025,-3.325,-1.025,-3.275,R013,R010
001,-0.975,-3.325,-0.975,-3.275,R010,R001
001,-3.175,-3.275,-3.175,-3.225,R017,R013
001,-1.025,-3.275,-1.025,-3.225,R013,R010
001,-0.975,-3.275,-0.975,-3.225,R010,R001
001,-3.125,-3.225,-3.125,-3.175,R017,R013
001,-1.025,-3.225,-1.025,-3.175,R013,R010
001,-0.975,-3.225,-0.975,-3.175,R010,R001
001,-3.125,-3.175,-3.125,-3.125,R017,R013
001,-1.025,-3.175,-1.025,-3.125,R013,R010
001,-0.975,-3.175,-0.975,-3.125,R010,R001
001,-3.825,-3.125,-3.825,-3.075,R017,R025
001,-3.575,-3.125,-3.575,-3.075,R025,R017
001,-3.075,-3.125,-3.075,-3.075,R017,R013
001,-1.025,-3.125,-1.025,-3.075,R013,R010
001,-0.975,-3.125,-0.975,-3.075,R010,R001
001,-3.825,-3.075,-3.825,-3.025,R017,R025
001,-3.525,-3.075,-3.525,-3.025,R025,R017
001,-3.075,-3.075,-3.075,-3.025,R017,R013
001,-1.025,-3.075,-1.025,-3.025,R013,R010
001,-0.975,-3.075,-0.975,-3.025,R010,R001
001,-3.925,-3.025,-3.925,-2.975,R013,R017
001,-3.825,-3.025,-3.825,-2.975,R017,R025
001,-3.475,-3.025,-3.475,-2.975,R025,R017
001,-3.025,-3.025,-3.025,-2.975,R017,R013
001,-1.025,-3.025,-1.025,-2.975,R013,R010
001,-0.975,-3.025,-0.975,-2.975,R010,R001
001,-3.875,-2.975,-3.875,-2.925,R013,R017
001,-3.825,-2.975,-3.825,-2.925,R017,R025
001,-3.425,-2.975,-3.425,-2.925,R025,R017
001,-3.025,-2.975,-3.025,-2.925,R017,R013
001,-1.025,-2.975,-1.025,-2.925,R013,R010
001,-0.975,-2.975,-0.975,-2.925,R010,R001
001,-3.825,-2.925,-3.825,-2.875,R013,R025
