surface,region,path_id,grid_points,mu_MnOH2_min_eV,mu_MnOH2_max_eV,mu_H2O_min_eV,mu_H2O_max_eV,states,mechanisms
001,R001,P00001,640,-0.95,0,-4,-2.45,S000 -> S001 -> S101 -> S102 -> S112 -> S212 -> S222 -> S322,SR -> OL -> SR -> C -> OL -> C -> OL
001,R002,P00002,303,-0.95,0,-2.4,-1.35,S000 -> S001 -> S101 -> S102 -> S112 -> S212 -> S312 -> S322,SR -> OL -> SR -> C -> OL -> OL -> C
001,R003,P00003,654,-4,-1.95,-1.65,0,S000 -> S001 -> S101 -> S102 -> S112 -> S212 -> S322,SR -> OL -> SR -> C -> OL -> OX
001,R004,P00007,22,-3.4,-3.05,-1.9,-1.55,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S322,SR -> OL -> SR -> OL -> C -> OX
001,R005,P00009,652,-1.9,-0.45,-1.6,0,S000 -> S001 -> S101 -> S102 -> S202 -> S312 -> S322,SR -> OL -> SR -> OL -> OX -> C
001,R006,P00012,39,-3.9,-3.25,-2.4,-1.95,S000 -> S001 -> S101 -> S102 -> S212 -> S322,SR -> OL -> SR -> OX -> OX
001,R007,P00015,384,-4,-2.45,-1.2,-0.15,S000 -> S001 -> S101 -> S111 -> S112 -> S212 -> S322,SR -> OL -> C -> SR -> OL -> OX
001,R008,P00037,7,-0.7,-0.6,-0.1,0,S000 -> S001 -> S101 -> S201 -> S211 -> S311 -> S312 -> S322,SR -> OL -> OL -> C -> OL -> SR -> C
001,R009,P00047,330,-4,-3,-1.5,-0.75,S000 -> S001 -> S101 -> S211 -> S212 -> S322,SR -> OL -> OX -> SR -> OX
001,R010,P00053,32,-1,-1,-4,-2.45,S000 -> S001 -> S111 -> S112 -> S212 -> S222 -> S322,SR -> OX -> SR -> OL -> C -> OL
001,R011,P00054,338,-1.9,-1,-2.4,-1.55,S000 -> S001 -> S111 -> S112 -> S212 -> S312 -> S322,SR -> OX -> SR -> OL -> OL -> C
001,R012,P00055,355,-4,-1.95,-2.4,-1.55,S000 -> S001 -> S111 -> S112 -> S212 -> S322,SR -> OX -> SR -> OL -> OX
001,R013,P00056,1405,-4,-1.05,-4,-2.45,S000 -> S001 -> S111 -> S112 -> S222 -> S322,SR -> OX -> SR -> OX -> OL
001,R014,P00058,11,-1,-1,-1.55,-1.05,S000 -> S001 -> S111 -> S211 -> S212 -> S312 -> S322,SR -> OX -> OL -> SR -> OL -> C
001,R015,P00061,2,-1,-1,-0.85,-0.8,S000 -> S001 -> S111 -> S211 -> S221 -> S321 -> S322,SR -> OX -> OL -> C -> OL -> SR
001,R016,P00064,108,-1.7,-1,-1.5,-0.85,S000 -> S001 -> S111 -> S211 -> S321 -> S322,SR -> OX -> OL -> OX -> SR
