state,path,coordinate,relative_E,cooptimal_grid_points,representative_grid_points,selection
S000,./S000/variant_01,0,0.000000000,6561,6561,representative
S001,./S001/variant_02,1,0.832780000,5643,5643,representative
S100,./S100/variant_01,1,0.222530000,453,88,representative
S101,./S101/variant_03,2,-0.150130281,2739,2739,representative
S110,./S110/variant_02,2,0.593655250,4442,830,representative
S200,./S200/variant_01,2,-0.210960000,72,0,cooptimal_only
S102,./S102/variant_02,3,-0.096112062,2291,2291,representative
S111,./S111/variant_03,3,0.550313469,5935,3991,representative
S201,./S201/variant_03,3,-0.873308781,1231,14,representative
S210,./S210/variant_02,3,0.403106750,302,0,cooptimal_only
S112,./S112/variant_02,4,1.397621688,4704,4378,representative
S202,./S202/variant_02,4,-1.553590562,2252,755,representative
S211,./S211/variant_03,4,-0.380805031,2607,798,representative
S220,./S220/variant_01,4,0.944040500,1033,0,cooptimal_only
S212,./S212/variant_03,5,0.369243187,3493,3403,representative
S221,./S221/variant_02,5,-0.145001281,1781,868,representative
S311,./S311/variant_03,5,-0.986533531,1232,14,representative
S320,./S320/variant_01,5,0.701282000,372,0,cooptimal_only
S222,./S222/variant_03,6,2.790396938,2874,2664,representative
S312,./S312/variant_03,6,-1.555435313,2439,1492,representative
S321,./S321/variant_01,6,-0.748279781,1677,419,representative
S322,./S322/variant_02,7,-1.911741562,6561,6561,representative
