state,path,coordinate,relative_E,cooptimal_grid_points,representative_grid_points,selection
S000,./S000/variant_01,0,0.000000000,6561,6561,representative
S001,./S001/variant_01,1,-0.717431781,3058,3058,representative
S002,./S002/variant_01,2,-0.673013563,1190,1190,representative
S100,./S100/variant_02,1,0.140321500,1114,981,representative
S101,./S101/variant_02,2,0.045049719,1689,1556,representative
S102,./S102/variant_02,3,-0.571462062,889,889,representative
S110,./S110/variant_03,2,0.769385250,5306,2522,representative
S111,./S111/variant_02,3,0.321683469,6434,4643,representative
S112,./S112/variant_03,4,-0.785008313,1163,1163,representative
S202,./S202/variant_02,4,-1.352820562,491,346,representative
S211,./S211/variant_01,4,-0.712705031,4636,3395,representative
S212,./S212/variant_01,5,-1.441116812,5024,5024,representative
S220,./S220/variant_03,4,0.753770500,462,0,cooptimal_only
S221,./S221/variant_02,5,-0.800531281,2512,1299,representative
S222,./S222/variant_02,6,-1.322983063,2454,1884,representative
S312,./S312/variant_03,6,-0.681915312,145,126,representative
S321,./S321/variant_01,6,-0.487719781,3339,141,representative
S322,./S000/variant_01,7,-1.645781562,6473,6473,representative
S323,./S001/variant_02,8,-2.205163344,3931,3921,representative
S324,./S002/variant_02,9,-2.307975125,2625,2625,representative
S422,./S100/variant_03,8,-0.771010063,149,148,representative
S423,./S101/variant_03,9,-1.688551844,809,808,representative
S424,./S102/variant_01,10,-2.074073625,890,889,representative
S432,./S110/variant_01,9,-0.826826313,6079,2552,representative
S433,./S111/variant_01,10,-1.251518094,6426,3152,representative
S434,./S112/variant_01,11,-1.369219875,4700,4255,representative
S524,./S202/variant_01,11,-2.197952125,313,76,representative
S532,./S210/variant_01,10,-1.282974813,749,0,cooptimal_only
S533,./S211/variant_01,11,-2.215446594,3822,1638,representative
S534,./S212/variant_02,12,-2.169888375,4366,4155,representative
S542,./S220/variant_01,11,-0.908621062,3421,0,cooptimal_only
S543,./S221/variant_01,12,-1.860042844,5828,131,representative
S544,./S222/variant_01,13,-1.403044625,5838,5728,representative
S642,./S320/variant_02,12,-1.047919562,747,0,cooptimal_only
S643,./S321/variant_03,13,-1.923531344,1616,0,cooptimal_only
S644,./S322/variant_01,14,-3.471003125,6561,6561,representative
