state,pure_x,pure,capping_x,carboxyl,amine
S000,0,0,0.5,-2.015404,-1.0507
S001,1,0.832778219,1.5,-1.767145781,-0.349211781
S100,1,0.2225315,1.5,-1.8570625,-0.5806885
S101,2,-0.150130281,2.5,-2.566704281,-1.435140281
S110,2,0.59365525,2.5,-2.01351875,0.27903525
S200,2,-0.210957,2.5,-2.933501,-0.811997
S102,3,-0.096112062,3.5,-1.735826062,-0.981582062
S111,3,0.550313469,3.5,-1.841430531,-0.452446531
S201,3,-0.873308781,3.5,-3.298752781,-1.524638781
S210,3,0.40310675,3.5,-2.87189725,-0.22463325
S112,4,1.397621688,4.5,-0.815632312,0.183911687
S202,4,-1.553590562,4.5,-3.489644562,-2.548440562
S211,4,-0.380805031,4.5,-2.498929031,-0.878655031
S220,4,0.9440405,4.5,-2.3307935,-0.1677895
S212,5,0.369243187,5.5,-1.952680812,-0.995286812
S221,5,-0.145001281,5.5,-2.942665281,-0.688491281
S311,5,-0.986533531,5.5,-3.910417531,-1.459323531
S320,5,0.701282,5.5,-2.984182,0.015132
S222,6,2.790396938,6.5,0.540432938,1.514626938
S312,6,-1.555435313,6.5,-4.218739312,-2.574175312
S321,6,-0.748279781,6.5,-4.256773781,-1.334349781
S322,7,-1.911741562,7.5,-4.079205562,-2.739181563
