state,pure_x,pure,capping_x,carboxyl,amine
S000,0,0.000000,0.500000,-1.839344,-0.177450
S001,1,-0.717432,1.500000,-0.426776,-1.018572
S100,1,0.140321,1.500000,-1.453303,-0.020959
S002,2,-0.673014,2.500000,-1.069748,-1.092314
S101,2,0.045050,2.500000,-1.880115,-0.596641
S110,2,0.769385,2.500000,-1.991769,-0.062835
S102,3,-0.571462,3.500000,-1.915187,-0.654723
S111,3,0.321683,3.500000,-2.256651,-0.801767
S112,4,-0.785008,4.500000,-1.978813,-1.451759
S202,4,-1.352821,4.500000,-2.485276,-0.793602
S211,4,-0.712705,4.500000,-2.273650,-0.897736
S220,4,0.753771,4.500000,-2.001394,0.070830
S212,5,-1.441117,5.500000,-2.709522,-1.567348
S221,5,-0.800531,5.500000,-2.779956,-1.209652
S222,6,-1.322983,6.500000,-3.057218,-1.801764
S312,6,-0.681915,6.500000,-2.243921,-1.097357
S321,6,-0.487720,6.500000,-2.219265,-0.440151
S322,7,-1.645782,7.500000,-3.589327,-1.995773
S323,8,-2.205163,8.500000,-3.750489,-2.481435
S422,8,-0.771010,8.500000,-2.137216,0.376448
S324,9,-2.307975,9.500000,-3.164481,-2.519727
S423,9,-1.688552,9.500000,-3.226458,-2.300484
S432,9,-0.826826,9.500000,-1.851972,-1.599468
S424,10,-2.074074,10.500000,-3.197340,-2.537416
S433,10,-1.251518,10.500000,-2.957624,-2.091230
S532,10,-1.282975,10.500000,-3.201161,-1.584637
S434,11,-1.369220,11.500000,-2.199376,-2.318422
S524,11,-2.197952,11.500000,-3.285749,-2.518475
S533,11,-2.215447,11.500000,-3.386233,-2.520719
S534,12,-2.169888,12.500000,-1.262375,-3.211811
S543,12,-1.860043,12.500000,-3.812219,-1.979675
S544,13,-1.403045,13.500000,-4.406691,-3.062117
S644,14,-3.471003,14.500000,-5.617540,-3.652196
